Symptom,weight,description,cause
itching,1,"An uncomfortable sensation on the skin that provokes the desire to scratch","Commonly caused by allergic reactions, skin conditions like eczema, insect bites, or infections"
skin_rash,3,"Red, inflamed areas of skin that may be itchy or painful","Often due to allergies, infections, autoimmune disorders, or contact with irritants"
nodal_skin_eruptions,4,"Small, raised bumps on the skin that may form patterns or clusters","Typically associated with viral infections like chickenpox or allergic reactions"
continuous_sneezing,4,"Repeated sneezing without control","Usually triggered by allergies, colds, irritants like dust or pollen, or sinus issues"
shivering,5,"Involuntary shaking or trembling of the body","Often occurs due to cold exposure, fever, fear, or infections"
chills,3,"A feeling of coldness accompanied by shivering","Common with fevers, infections, or exposure to cold temperatures"
joint_pain,3,"Pain in the joints that can limit movement","May result from arthritis, injury, infection, or autoimmune diseases"
stomach_pain,5,"Discomfort or pain in the abdominal area","Can be caused by indigestion, infections, ulcers, or gastrointestinal disorders"
acidity,3,"A burning sensation in the stomach or chest due to excess acid","Often linked to diet, stress, GERD, or overeating"
ulcers_on_tongue,4,"Sores or lesions on the tongue that may be painful","Usually due to infections, injuries, nutritional deficiencies, or autoimmune conditions"
muscle_wasting,3,"Loss of muscle mass and strength","Associated with malnutrition, inactivity, neurological disorders, or chronic illnesses"
vomiting,5,"Forceful expulsion of stomach contents through the mouth","Commonly caused by infections, food poisoning, pregnancy, or gastrointestinal issues"
burning_micturition,6,"A burning sensation during urination","Typically indicates urinary tract infections, kidney stones, or sexually transmitted diseases"
spotting_urination,6,"Blood in the urine or spotting during urination","May signal urinary tract infections, kidney problems, or bladder issues"
fatigue,4,"Extreme tiredness or lack of energy","Can result from anemia, sleep disorders, depression, or chronic diseases"
weight_gain,3,"Unintended increase in body weight","Often due to overeating, hormonal imbalances, medications, or sedentary lifestyle"
anxiety,4,"A feeling of worry, nervousness, or unease","May be triggered by stress, mental health conditions, or life events"
cold_hands_and_feets,5,"Cold sensation in hands and feet","Common with poor circulation, anemia, hypothyroidism, or exposure to cold"
mood_swings,3,"Rapid changes in mood or emotional state","Associated with hormonal changes, mental health disorders, or stress"
weight_loss,3,"Unintended loss of body weight","Can occur due to malnutrition, hyperthyroidism, cancer, or digestive issues"
restlessness,5,"Inability to stay still or relax","Often linked to anxiety, ADHD, caffeine, or medical conditions"
lethargy,2,"A state of tiredness and lack of energy","May result from sleep deprivation, anemia, or chronic fatigue syndrome"
patches_in_throat,6,"White or red patches in the throat","Usually due to infections like strep throat, fungal infections, or oral thrush"
irregular_sugar_level,5,"Fluctuations in blood sugar levels","Common in diabetes, hormonal imbalances, or dietary issues"
cough,4,"A sudden expulsion of air from the lungs","Typically caused by colds, allergies, infections, or irritants"
high_fever,7,"Elevated body temperature above 101°F","Often due to infections, inflammatory diseases, or heatstroke"
sunken_eyes,3,"Eyes appearing deep-set or hollow","May indicate dehydration, malnutrition, or aging"
breathlessness,4,"Difficulty breathing or shortness of breath","Can result from asthma, heart conditions, anemia, or lung diseases"
sweating,3,"Excessive sweating beyond normal","Often due to heat, exercise, anxiety, or hormonal issues"
dehydration,4,"Lack of sufficient water in the body","Commonly caused by not drinking enough fluids, diarrhea, or excessive sweating"
indigestion,5,"Discomfort after eating, including bloating or nausea","May be due to overeating, spicy foods, GERD, or infections"
headache,3,"Pain in the head or neck area","Often caused by tension, migraines, dehydration, or infections"
yellowish_skin,3,"Yellow discoloration of the skin","Typically due to jaundice from liver problems, bile duct issues, or anemia"
dark_urine,4,"Urine that appears darker than usual","May indicate dehydration, liver issues, or urinary tract infections"
nausea,5,"A feeling of sickness with an inclination to vomit","Common with motion sickness, pregnancy, infections, or medications"
loss_of_appetite,4,"Reduced desire to eat","Can be caused by infections, stress, depression, or digestive disorders"
pain_behind_the_eyes,4,"Pain located behind the eyes","Often associated with migraines, sinus infections, or eye strain"
back_pain,3,"Pain in the back region","May result from poor posture, injury, arthritis, or kidney issues"
constipation,4,"Difficulty passing stools or infrequent bowel movements","Commonly due to low fiber diet, dehydration, or medications"
abdominal_pain,4,"Pain in the stomach or abdominal area","Can be caused by indigestion, infections, ulcers, or menstrual cramps"
diarrhoea,6,"Loose or watery stools","Often due to infections, food poisoning, IBS, or medications"
mild_fever,5,"Slightly elevated body temperature","Usually from minor infections, stress, or environmental factors"
yellow_urine,4,"Urine with a yellow tint","May be due to dehydration or certain foods/medications"
yellowing_of_eyes,4,"Yellow discoloration of the eyes","Typically jaundice from liver or gallbladder problems"
acute_liver_failure,6,"Sudden loss of liver function","Can result from infections, toxins, or autoimmune diseases"
fluid_overload,6,"Excess fluid accumulation in the body","Associated with heart failure, kidney disease, or liver cirrhosis"
swelling_of_stomach,7,"Abdominal swelling or bloating","May indicate ascites from liver disease, infections, or tumors"
swelled_lymph_nodes,6,"Enlarged lymph nodes","Usually due to infections, autoimmune disorders, or cancer"
malaise,6,"A general feeling of discomfort or illness","Often accompanies infections, chronic diseases, or fatigue"
blurred_and_distorted_vision,5,"Impaired or altered vision","Can be caused by refractive errors, cataracts, or neurological issues"
phlegm,5,"Thick mucus produced in the respiratory tract","Common with colds, allergies, or respiratory infections"
throat_irritation,4,"Irritation or soreness in the throat","Often due to infections, allergies, or dry air"
redness_of_eyes,5,"Red or bloodshot eyes","May result from allergies, infections, or eye strain"
sinus_pressure,4,"Pressure or pain in the sinuses","Typically from sinusitis, allergies, or colds"
runny_nose,5,"Excess nasal discharge","Often caused by colds, allergies, or sinus infections"
congestion,5,"Blocked or stuffy nasal passages","Common with colds, allergies, or sinus issues"
chest_pain,7,"Pain in the chest area","Can indicate heart problems, lung issues, or musculoskeletal pain"
weakness_in_limbs,7,"Loss of strength in arms or legs","May be due to neurological disorders, anemia, or infections"
fast_heart_rate,5,"Rapid heartbeat","Often from anxiety, exercise, caffeine, or heart conditions"
pain_during_bowel_movements,5,"Pain experienced while defecating","Commonly due to hemorrhoids, anal fissures, or constipation"
pain_in_anal_region,6,"Pain in the anal area","May result from hemorrhoids, infections, or injuries"
bloody_stool,5,"Blood in the feces","Often due to hemorrhoids, colorectal cancer, or infections"
irritation_in_anus,6,"Irritation or discomfort in the anus","Can be caused by infections, hemorrhoids, or hygiene issues"
neck_pain,5,"Pain in the neck region","May result from poor posture, injury, arthritis, or muscle strain"
dizziness,4,"A feeling of lightheadedness or vertigo","Often due to inner ear issues, dehydration, or low blood pressure"
cramps,4,"Sudden, involuntary muscle contractions","Common in legs, abdomen; may be due to dehydration or menstrual cycles"
bruising,4,"Discolored skin from broken blood vessels","Can occur from injury, vitamin deficiencies, or blood disorders"
obesity,4,"Excess body fat leading to health issues","Often due to overeating, genetics, or sedentary lifestyle"
swollen_legs,5,"Swelling in the legs","May indicate heart failure, kidney disease, or venous insufficiency"
swollen_blood_vessels,5,"Enlarged or swollen veins","Common with varicose veins or circulatory problems"
puffy_face_and_eyes,5,"Swelling of the face and eyes","Often due to allergies, kidney issues, or sleep deprivation"
enlarged_thyroid,6,"Swollen thyroid gland","May result from hypothyroidism, hyperthyroidism, or thyroiditis"
brittle_nails,5,"Nails that break easily","Can be due to nutritional deficiencies, thyroid issues, or aging"
swollen_extremeties,5,"Swelling in arms or legs","Associated with lymphedema, heart disease, or infections"
excessive_hunger,4,"Unusually strong appetite","Often linked to diabetes, hyperthyroidism, or stress"
extra_marital_contacts,5,"History of multiple sexual partners","May increase risk of sexually transmitted diseases"
drying_and_tingling_lips,4,"Dry or tingling sensation on lips","Can be due to dehydration, allergies, or vitamin deficiencies"
